state_name,year,deaths,intensity_value,population,literacy_rate,poverty_rate,forest_cover,lightning_density,deaths_per_million
a & n islands,2019,1,31759.0,380581,86.63,1.63,94.36,3.85004,2.62756
a & n islands,2020,0,30443.0,380581,86.63,1.63,94.36,3.69051,0.0
andhra pradesh,2019,109,1991420.0,49577103,67.02,4.19,22.63,12.2192,2.1986
andhra pradesh,2020,93,3919950.0,49577103,67.02,4.19,22.63,24.0524,1.87587
arunachal pradesh,2019,0,53761.0,1383727,65.38,10.05,92.86,0.641976,0.0
arunachal pradesh,2020,0,26448.0,1383727,65.38,10.05,92.86,0.315823,0.0
assam,2019,28,705353.0,31205576,72.19,14.47,23.36,8.99249,0.89728
assam,2020,14,339664.0,31205576,72.19,14.47,23.36,4.33035,0.44864
bihar,2019,400,1717630.0,104099452,61.8,26.59,6.64,18.2411,3.84248
bihar,2020,436,1525760.0,104099452,61.8,26.59,6.64,16.2034,4.1883
chandigarh,2019,2,544.0,1055450,86.05,2.62,25.16,4.77193,1.89493
chandigarh,2020,0,436.0,1055450,86.05,2.62,25.16,3.82456,0.0
chhattisgarh,2019,212,1982740.0,25545198,70.28,11.71,46.89,14.6661,8.29902
chhattisgarh,2020,246,2708930.0,25545198,70.28,11.71,46.89,20.0376,9.62999
d&n haveli and daman&diu,2019,1,1832.0,586620,76.34,6.06,42.91,3.03814,1.70468
d&n haveli and daman&diu,2020,0,3749.0,586620,76.34,6.06,42.91,6.21725,0.0
delhi ut,2019,0,10199.0,16787941,86.21,2.97,11.78,6.87264,0.0
delhi ut,2020,0,7546.0,16787941,86.21,2.97,11.78,5.08491,0.0
goa,2019,2,36390.0,1458545,88.7,0.37,34.75,9.82982,1.37123
goa,2020,0,15883.0,1458545,88.7,0.37,34.75,4.29038,0.0
gujarat,2019,64,630385.0,60439692,78.03,9.03,10.91,3.21586,1.05891
gujarat,2020,78,1090150.0,60439692,78.03,9.03,10.91,5.56132,1.29054
haryana,2019,11,167237.0,25351462,75.55,5.3,0.74,3.78262,0.4339
haryana,2020,3,177360.0,25351462,75.55,5.3,0.74,4.01158,0.11834
himachal pradesh,2019,1,97618.0,6864602,82.8,3.88,24.99,1.75342,0.14567
himachal pradesh,2020,5,31645.0,6864602,82.8,3.88,24.99,0.568408,0.72837
jammu & kashmir,2019,1,85643.0,12541032,67.16,2.78,10.63,0.38537,0.07974
jammu & kashmir,2020,0,31899.0,12541032,67.16,2.78,10.63,0.143537,0.0
jharkhand,2019,334,2429410.0,32988134,66.41,23.34,28.1,30.4758,10.1249
jharkhand,2020,336,2312740.0,32988134,66.41,23.34,28.1,29.0122,10.1855
karnataka,2019,99,2131890.0,61095297,75.36,5.67,16.13,11.1157,1.62042
karnataka,2020,75,3058060.0,61095297,75.36,5.67,16.13,15.9448,1.22759
kerala,2019,15,684962.0,33406061,94.0,0.48,27.83,17.625,0.44902
kerala,2020,8,1515120.0,33406061,94.0,0.48,27.83,38.9861,0.23948
lakshadweep,2019,0,87.0,64473,91.85,0.84,50.47,2.71875,0.0
lakshadweep,2020,0,,64473,91.85,0.84,50.47,,0.0
madhya pradesh,2019,400,2708480.0,72626809,69.32,15.01,28.31,8.78659,5.50761
madhya pradesh,2020,429,2388830.0,72626809,69.32,15.01,28.31,7.7496,5.90691
maharashtra,2019,189,1580670.0,112374333,82.34,5.48,16.94,5.13684,1.68188
maharashtra,2020,182,2455160.0,112374333,82.34,5.48,16.94,7.97874,1.61959
manipur,2019,0,61690.0,2570390,76.94,5.37,79.51,2.76302,0.0
manipur,2020,0,16831.0,2570390,76.94,5.37,79.51,0.753841,0.0
meghalaya,2019,7,623378.0,2966889,74.43,25.46,39.32,27.7934,2.35937
meghalaya,2020,8,359711.0,2966889,74.43,25.46,39.32,16.0378,2.69643
mizoram,2019,1,152737.0,1097206,91.33,3.77,77.75,7.24524,0.91141
mizoram,2020,0,66319.0,1097206,91.33,3.77,77.75,3.14591,0.0
nagaland,2019,0,41862.0,1978502,79.55,11.76,52.08,2.525,0.0
nagaland,2020,1,23194.0,1978502,79.55,11.76,52.08,1.399,0.50543
odisha,2019,271,4084820.0,41974219,72.87,11.07,35.13,26.234,6.45634
odisha,2020,275,3695270.0,41974219,72.87,11.07,35.13,23.7322,6.55164
puducherry,2019,5,4393.0,1247953,85.85,0.58,0.8,9.17119,4.00656
puducherry,2020,0,23448.0,1247953,85.85,0.58,0.8,48.952,0.0
punjab,2019,7,201940.0,27743338,75.84,4.35,4.86,4.00977,0.25231
punjab,2020,8,11906.0,27743338,75.84,4.35,4.86,0.236408,0.28836
rajasthan,2019,88,1566530.0,68548437,66.11,10.77,8.1,4.57729,1.28376
rajasthan,2020,48,806064.0,68548437,66.11,10.77,8.1,2.35527,0.70023
sikkim,2019,0,6933.0,610577,81.42,2.1,75.79,0.977029,0.0
sikkim,2020,0,4046.0,610577,81.42,2.1,75.79,0.57018,0.0
tamil nadu,2019,57,2043390.0,72147030,80.09,1.43,16.54,15.7114,0.79005
tamil nadu,2020,64,5932420.0,72147030,80.09,1.43,16.54,45.6136,0.88708
telangana,2019,96,1117630.0,35003674,66.46,3.76,24.7,9.97196,2.74257
telangana,2020,64,1882530.0,35003674,66.46,3.76,24.7,16.7968,1.82838
tripura,2019,10,213295.0,3673917,87.22,11.49,59.99,20.3312,2.72189
tripura,2020,5,151398.0,3673917,87.22,11.49,59.99,14.4312,1.36095
uttar pradesh,2019,321,1948020.0,199812341,67.68,17.4,7.54,8.08548,1.60651
uttar pradesh,2020,304,1711270.0,199812341,67.68,17.4,7.54,7.10282,1.52143
uttarakhand,2019,2,124845.0,10086292,78.82,6.92,63.51,2.33429,0.19829
uttarakhand,2020,10,67797.0,10086292,78.82,6.92,63.51,1.26764,0.99144
west bengal,2019,147,2999190.0,91276115,76.36,8.6,13.53,33.7929,1.6105
west bengal,2020,170,3050130.0,91276115,76.36,8.6,13.53,34.3669,1.86248
