state,year,lightning_intensity
andhra pradesh,2019,1991423
andhra pradesh,2020,3919947
arunachal pradesh,2019,53761
arunachal pradesh,2020,26448
assam,2019,705353
assam,2020,339664
bihar,2019,1717633
bihar,2020,1525765
chhattisgarh,2019,1982738
chhattisgarh,2020,2708928
goa,2019,36390
goa,2020,15883
gujarat,2019,630385
gujarat,2020,1090153
haryana,2019,167237
haryana,2020,177360
himachal pradesh,2019,97618
himachal pradesh,2020,31645
jharkhand,2019,2429412
jharkhand,2020,2312739
karnataka,2019,2131887
karnataka,2020,3058063
kerala,2019,684962
kerala,2020,1515116
madhya pradesh,2019,2708483
madhya pradesh,2020,2388829
maharashtra,2019,1580672
maharashtra,2020,2455162
manipur,2019,61690
manipur,2020,16831
meghalaya,2019,623378
meghalaya,2020,359711
mizoram,2019,152737
mizoram,2020,66319
nagaland,2019,41862
nagaland,2020,23194
odisha,2019,4084820
odisha,2020,3695269
punjab,2019,201940
punjab,2020,11906
rajasthan,2019,1566526
rajasthan,2020,806064
sikkim,2019,6933
sikkim,2020,4046
tamil nadu,2019,2043393
tamil nadu,2020,5932415
telangana,2019,1117627
telangana,2020,1882533
tripura,2019,213295
tripura,2020,151398
uttar pradesh,2019,1948019
uttar pradesh,2020,1711269
uttarakhand,2019,124845
uttarakhand,2020,67797
west bengal,2019,2999191
west bengal,2020,3050128
a & n islands,2019,31759
a & n islands,2020,30443
chandigarh,2019,544
chandigarh,2020,436
d&n haveli and daman&diu,2019,1832
d&n haveli and daman&diu,2020,3749
delhi ut,2019,10199
delhi ut,2020,7546
jammu & kashmir,2019,85643
jammu & kashmir,2020,31899
ladakh,2019,na
ladakh,2020,na
lakshadweep,2019,87
lakshadweep,2020,na
puducherry,2019,4393
puducherry,2020,23448
